,allc,alld,generous_tft,grudger,hard_tft,joss,prober,random,soft_grudger,tft,tftt
Agent trained against ALLC,986.6666666666666,1.0,533.0,5.666666666666667,387.3333333333333,484.17,7.0,330.10999999999996,378.3333333333333,515.0,599.6666666666666
Agent trained against ALLD,602.0,200.0,599.23,201.0,345.6666666666667,536.2533333333333,600.0,338.3666666666666,593.0,599.0,602.0
Agent trained against TFT,721.3333333333334,0.3333333333333333,528.3299999999999,9.333333333333334,320.0,457.30333333333334,6.333333333333333,343.79333333333335,392.0,520.0,667.0
Agent trained against hard TFT,705.3333333333334,189.0,480.2966666666667,213.0,238.0,281.90000000000003,191.33333333333334,376.2033333333334,497.6666666666667,271.0,647.0
Agent trained against generous TFT,767.3333333333334,0.3333333333333333,522.7033333333333,10.0,329.6666666666667,457.3666666666666,6.333333333333333,356.2366666666667,379.0,514.6666666666666,627.0
Agent trained against grudger,605.3333333333334,195.33333333333334,593.9533333333334,262.3333333333333,350.3333333333333,464.4433333333333,200.0,334.48,589.6666666666666,471.6666666666667,604.3333333333334
Agent trained against soft grudger,750.6666666666666,140.33333333333334,446.31666666666666,154.66666666666666,170.0,372.0566666666667,148.0,400.9766666666667,494.6666666666667,397.3333333333333,681.3333333333334
Agent trained against TFTT,788.0,1.0,512.2566666666667,5.0,350.3333333333333,458.26666666666665,7.0,349.37999999999994,348.6666666666667,485.0,747.0
Agent trained against prober,724.6666666666666,139.33333333333334,519.5466666666667,148.33333333333334,166.0,445.8966666666667,513.3333333333334,369.33666666666664,457.0,506.3333333333333,667.0
Agent trained against Joss,722.0,59.666666666666664,502.84999999999997,67.66666666666667,226.0,428.02,67.33333333333333,385.75333333333333,403.6666666666667,474.3333333333333,661.0
Agent trained against random,836.6666666666666,117.0,460.1666666666667,120.66666666666667,172.0,391.42333333333335,423.3333333333333,477.9066666666667,409.0,425.6666666666667,593.3333333333334
