training_population,training_p_noise,eval_p_noise,mean_reward,mean_reward_per_round,mean_cooperation_rate,mean_defection_rate
exploitative,0.0,0.0,446.90128205128207,2.2345064102564103,0.4960538461538461,0.5039461538461537
exploitative,0.0,0.05,423.98743589743583,2.1199371794871795,0.4826102564102564,0.5173897435897435
exploitative,0.0,0.1,424.4866666666667,2.1224333333333334,0.514726923076923,0.48527307692307686
exploitative,0.0,0.2,436.9271794871795,2.1846358974358973,0.600851282051282,0.3991487179487179
exploitative,0.05,0.0,397.6574358974359,1.9882871794871795,0.46679230769230773,0.5332076923076923
exploitative,0.05,0.05,394.15999999999997,1.9707999999999999,0.447226923076923,0.5527730769230769
exploitative,0.05,0.1,398.4287179487179,1.9921435897435897,0.4545666666666666,0.5454333333333333
exploitative,0.05,0.2,423.81410256410254,2.119070512820513,0.5163653846153846,0.4836346153846154
exploitative,0.1,0.0,383.5541025641026,1.917770512820513,0.4216294871794871,0.5783705128205128
exploitative,0.1,0.05,388.9887179487179,1.9449435897435898,0.428324358974359,0.5716756410256411
exploitative,0.1,0.1,396.3476923076923,1.9817384615384617,0.44242692307692305,0.5575730769230769
exploitative,0.1,0.2,419.3466666666667,2.0967333333333333,0.48787820512820507,0.5121217948717949
exploitative,0.2,0.0,358.27846153846156,1.7913923076923077,0.38670769230769225,0.6132923076923077
exploitative,0.2,0.05,390.6123076923077,1.9530615384615384,0.42243717948717946,0.5775628205128205
exploitative,0.2,0.1,400.9071794871795,2.0045358974358973,0.4413871794871794,0.5586128205128206
exploitative,0.2,0.2,419.03999999999996,2.0952,0.47487307692307684,0.525126923076923
mixed,0.0,0.0,422.92512820512826,2.1146256410256408,0.4535576923076923,0.5464423076923077
mixed,0.0,0.05,409.1123076923077,2.045561538461538,0.4449653846153846,0.5550346153846154
mixed,0.0,0.1,417.9825641025641,2.089912820512821,0.48590512820512816,0.5140948717948718
mixed,0.0,0.2,435.0138461538462,2.1750692307692305,0.5844987179487179,0.415501282051282
mixed,0.05,0.0,392.0976923076923,1.9604884615384617,0.44392948717948716,0.5560705128205128
mixed,0.05,0.05,397.9697435897436,1.989848717948718,0.4324512820512821,0.567548717948718
mixed,0.05,0.1,406.29487179487177,2.031474358974359,0.4449897435897435,0.5550102564102564
mixed,0.05,0.2,426.3738461538462,2.131869230769231,0.5063538461538462,0.4936461538461538
mixed,0.1,0.0,368.0125641025641,1.8400628205128204,0.4095628205128205,0.5904371794871796
mixed,0.1,0.05,382.77153846153846,1.9138576923076924,0.4170858974358974,0.5829141025641026
mixed,0.1,0.1,394.7197435897436,1.9735987179487178,0.4303358974358974,0.5696641025641025
mixed,0.1,0.2,421.6569230769231,2.1082846153846155,0.47860128205128205,0.521398717948718
mixed,0.2,0.0,367.26794871794874,1.8363397435897435,0.3839371794871795,0.6160628205128206
mixed,0.2,0.05,385.50384615384615,1.9275192307692306,0.4121653846153846,0.5878346153846155
mixed,0.2,0.1,400.1038461538461,2.000519230769231,0.4343717948717949,0.5656282051282051
mixed,0.2,0.2,420.8517948717949,2.1042589743589746,0.4691846153846153,0.5308153846153846
reciprocal,0.0,0.0,423.55871794871797,2.1177935897435898,0.5076692307692308,0.49233076923076924
reciprocal,0.0,0.05,418.36333333333334,2.0918166666666664,0.48859743589743587,0.5114025641025641
reciprocal,0.0,0.1,423.42051282051284,2.1171025641025643,0.5028820512820513,0.4971179487179487
reciprocal,0.0,0.2,433.8007692307692,2.169003846153846,0.5572820512820513,0.4427179487179487
reciprocal,0.05,0.0,388.5907692307692,1.942953846153846,0.5283589743589744,0.4716410256410256
reciprocal,0.05,0.05,410.76076923076926,2.053803846153846,0.5038782051282051,0.49612179487179486
reciprocal,0.05,0.1,415.46794871794873,2.0773397435897434,0.5017730769230769,0.49822692307692307
reciprocal,0.05,0.2,430.8094871794872,2.154047435897436,0.5295948717948717,0.47040512820512814
reciprocal,0.1,0.0,378.90846153846155,1.8945423076923078,0.4792102564102564,0.5207897435897436
reciprocal,0.1,0.05,396.5079487179487,1.9825397435897436,0.4708064102564102,0.5291935897435898
reciprocal,0.1,0.1,407.7020512820513,2.0385102564102566,0.473875641025641,0.5261243589743589
reciprocal,0.1,0.2,425.0028205128205,2.1250141025641027,0.5013397435897436,0.4986602564102564
reciprocal,0.2,0.0,343.92128205128205,1.7196064102564104,0.42740641025641024,0.5725935897435898
reciprocal,0.2,0.05,378.7074358974359,1.8935371794871794,0.45035,0.54965
reciprocal,0.2,0.1,398.3646153846154,1.991823076923077,0.46598461538461533,0.5340153846153846
reciprocal,0.2,0.2,417.02846153846156,2.0851423076923075,0.4914051282051282,0.5085948717948718
