training_opponent,training_history_length,mean_reward,payoff_pct_of_max
tftt,1,787.3333333333334,98.17123857024107
tftt,3,747.0,93.14214463840399
hard_tft,1,224.33333333333334,37.26467331118494
hard_tft,3,238.0,39.53488372093023
cycler_ddc,1,463.6666666666667,99.92816091954023
cycler_ddc,3,459.3333333333333,98.99425287356321
cycler_ccd,1,736.0,100.0
cycler_ccd,3,728.0,98.91304347826087
hard_majo,1,475.0,59.59849435382685
hard_majo,3,493.3333333333333,61.898787118360524
soft_majo,1,496.0,62.0
soft_majo,3,423.6666666666667,52.958333333333336
