round,match,player_a,player_a_type,player_b,player_b_type,mean_reward_a,mean_reward_b,cooperation_rate_a,cooperation_rate_b,winner,winner_type
1,1,strategy::hard_tft,classical,strategy::hard_majo,classical,203.0,203.0,0.005000000000000001,0.005000000000000001,strategy::hard_tft,classical
1,2,strategy::soft_majo,classical,q_exp3_exploitative_clean,q_learner,410.0,725.0,0.9950000000000001,0.6799999999999999,q_exp3_exploitative_clean,q_learner
1,3,strategy::prober,classical,strategy::hard_prober,classical,202.0,212.0,0.020000000000000004,0.010000000000000002,strategy::hard_prober,classical
1,4,strategy::joss,classical,q_exp2_mixed,q_learner,457.0,417.75,0.44675000000000004,0.48600000000000004,strategy::joss,classical
1,5,strategy::soft_grudger,classical,strategy::cycler_ddc,classical,364.0,369.0,0.335,0.33,strategy::cycler_ddc,classical
1,6,q_exp1_alld,q_learner,strategy::cycler_ccd,classical,404.0,729.0,0.9950000000000001,0.67,strategy::cycler_ccd,classical
1,7,strategy::grudger,classical,q_exp2_exploitative,q_learner,355.0,165.0,0.005000000000000001,0.19499999999999998,strategy::grudger,classical
1,8,strategy::tftt,classical,q_exp4_tftt_last1,q_learner,315.0,785.0,0.985,0.5150000000000001,q_exp4_tftt_last1,q_learner
1,9,strategy::mist,classical,q_exp2_reciprocal,q_learner,491.0,491.0,0.5999999999999999,0.5999999999999999,strategy::mist,classical
1,10,strategy::tft,classical,q_exp5bis_improved_grudger,q_learner,599.0,599.0,0.9950000000000001,0.9950000000000001,strategy::tft,classical
1,11,strategy::prober_3,classical,strategy::generous_tft,classical,547.45,528.95,0.8167499999999999,0.83525,strategy::prober_3,classical
2,1,strategy::joss,classical,BYE,,,,,,strategy::joss,classical
2,2,strategy::cycler_ccd,classical,strategy::hard_tft,classical,76.0,731.0,0.67,0.015000000000000003,strategy::hard_tft,classical
2,3,strategy::tft,classical,strategy::mist,classical,500.0,500.0,0.5,0.5,strategy::tft,classical
2,4,strategy::grudger,classical,q_exp4_tftt_last1,q_learner,675.0,85.0,0.005000000000000001,0.5950000000000001,strategy::grudger,classical
2,5,q_exp3_exploitative_clean,q_learner,strategy::hard_prober,classical,506.0,496.0,0.5950000000000001,0.6050000000000001,q_exp3_exploitative_clean,q_learner
2,6,strategy::prober_3,classical,strategy::cycler_ddc,classical,397.0,402.0,0.335,0.33,strategy::cycler_ddc,classical
3,1,strategy::cycler_ddc,classical,strategy::grudger,classical,138.0,463.0,0.33,0.005000000000000001,strategy::grudger,classical
3,2,q_exp3_exploitative_clean,q_learner,strategy::hard_tft,classical,176.0,366.0,0.22000000000000003,0.030000000000000006,strategy::hard_tft,classical
3,3,strategy::joss,classical,strategy::tft,classical,267.15,262.15,0.12250000000000001,0.1275,strategy::joss,classical
4,1,strategy::hard_tft,classical,BYE,,,,,,strategy::hard_tft,classical
4,2,strategy::grudger,classical,strategy::joss,classical,219.9,220.65,0.04875,0.048,strategy::joss,classical
5,1,strategy::hard_tft,classical,strategy::joss,classical,218.3,219.05,0.04475,0.044,strategy::joss,classical
