rank,participant,participant_type,mean_reward,cooperation_rate
1,strategy::generous_tft,classical,545.0411764705884,0.8589264705882352
2,strategy::soft_majo,classical,528.8882352941176,0.7619117647058824
3,strategy::soft_grudger,classical,523.4205882352941,0.8235882352941177
4,strategy::tft,classical,521.5764705882352,0.740514705882353
5,strategy::tftt,classical,494.41764705882355,0.7970441176470588
6,strategy::hard_prober,classical,462.5264705882353,0.5050882352941176
7,q_exp1_alld,q_learner,455.9823529411765,0.7499264705882352
8,q_exp2_reciprocal,q_learner,446.08235294117645,0.5465441176470588
9,strategy::cycler_ccd,classical,440.27058823529416,0.67
10,q_exp4_tftt_last1,q_learner,440.20294117647063,0.5846323529411764
11,strategy::hard_tft,classical,437.9235294117647,0.4776617647058824
12,strategy::grudger,classical,437.2647058823529,0.475985294117647
13,q_exp3_exploitative_clean,q_learner,433.98823529411766,0.5501617647058823
14,q_exp2_exploitative,q_learner,433.79411764705884,0.5497647058823528
15,q_exp2_mixed,q_learner,429.08529411764704,0.5174264705882353
16,strategy::mist,classical,427.4264705882353,0.4974852941176471
17,q_exp5bis_improved_grudger,q_learner,420.8970588235294,0.903264705882353
18,strategy::allc,classical,420.30882352941177,1.0
19,strategy::prober,classical,416.9264705882353,0.39230882352941177
20,strategy::prober_3,classical,415.55882352941177,0.2849117647058823
21,q_exp5bis_grudger_gamma0999_lr05_001,q_learner,384.32058823529417,0.7705
22,strategy::cycler_ddc,classical,377.9852941176471,0.33
23,q_exp5bis_grudger_gamma099_lr05_001,q_learner,373.5,0.7431029411764706
24,strategy::hard_majo,classical,369.9264705882353,0.3245147058823529
25,strategy::joss,classical,360.9588235294118,0.3068676470588235
26,strategy::alld,classical,317.5764705882353,0.0
